timestamp,load,vibration_x,vibration_y,q3,servo1_raw,servo3_raw,servo5_raw,servo6_raw,xgyro,yacc,pitch,rollspeed,label
36:03.0,652,1.94E-07,0.000473711,0.065667864,759.9761905,739.7380952,750,750,-0.063774823,0.030101897,-0.144459688,-0.064573948,benign
36:04.0,652,5.34E-08,0.000194798,0.024604753,744.5238095,747.3571429,750,750,0.045438748,0.072553214,0.011436996,0.045133118,benign
36:05.1,659,2.81E-08,0.000146251,-0.00392808,744.1190476,742.9285714,750,750,0.064075801,0.087419234,0.023805006,0.063799589,benign
36:06.1,650,4.37E-08,0.000180959,-0.03621746,745.952381,749.8095238,750,750,0.024670364,0.058113092,0.071044401,0.024622573,benign
36:07.2,660,3.17E-08,0.000158467,-0.054329631,749.5714286,747.0952381,750,750,-0.011839182,0.041619999,0.129351373,-0.011413248,benign
36:08.2,644,3.30E-08,0.000167195,-0.02897068,745.3333333,745.6666667,750,750,-0.020157806,0.038951665,0.066902176,-0.020218556,benign
36:09.3,652,2.76E-08,0.000154713,-0.001379806,745.6904762,744.452381,750,750,-0.015167252,0.020297788,0.004577905,-0.015168846,benign
36:10.3,657,1.82E-08,0.000120982,0.006489474,746.0952381,744.5714286,750,750,-0.007928967,0.01007649,-0.000227647,-0.007249094,benign
36:11.4,654,2.22E-08,0.000127086,0.006027872,744.3333333,746.9047619,750,750,-0.005886575,0.020937139,0.0101804,-0.005576703,benign
36:12.4,635,2.02E-08,0.000117499,0.002710589,742.7619048,748,750,750,-0.001553733,0.020047484,0.015746299,-0.001553995,benign
36:13.5,625,1.94E-07,0.000447289,0.077416844,734.9761905,767.3095238,750,750,-0.278050234,0.041337459,-0.030620502,-0.278092767,benign
36:14.5,652,3.23E-07,0.000682236,0.061288911,749.8333333,745.2142857,750,750,0.173891063,0.061722124,-0.073261019,0.173882355,benign
36:15.6,653,2.49E-07,0.000476612,-0.062730603,762.6428571,728.1904762,750,750,0.025278411,0.028912472,0.127794824,0.025508348,benign
36:16.6,654,6.29E-08,0.000196698,-0.061357142,752.5952381,744.0714286,750,750,0.072479415,0.041206988,0.122605311,0.071786357,benign
36:17.7,655,7.89E-08,0.000218037,-0.016102085,749.3571429,742,750,750,0.015196357,0.030448808,0.02760215,0.015366694,benign
36:18.7,658,6.97E-08,0.000193282,0.025320743,728.547619,761.0714286,750,750,-0.063812244,-0.006541244,-0.057635972,-0.063616188,benign
36:19.8,654,1.56E-07,0.000423058,0.146121541,773.1428571,742.3095238,750,750,-0.056164388,-0.018992266,-0.293654356,-0.056417884,benign
36:20.8,659,9.36E-08,0.000270593,0.126492712,751.6190476,751.8809524,750,750,-0.046360623,-0.023208276,-0.253821359,-0.046847933,benign
36:21.9,658,6.41E-08,0.00020867,0.017571262,744.1190476,745.2380952,750,750,-0.008207916,0.032531783,-0.035105675,-0.006558839,benign
36:22.9,655,2.88E-08,0.000151834,-0.012219331,745.6904762,741.3809524,750,750,0.062491667,0.080745785,0.024441592,0.062292617,benign
36:24.0,653,3.21E-08,0.000156818,-0.003337062,742.2142857,745.9047619,750,750,0.050766242,0.059157544,0.006659444,0.05046728,benign
36:25.0,655,2.05E-08,0.000123033,0.022670703,746.4761905,744.4285714,750,750,0.003978636,0.016569075,-0.045385289,0.004577233,benign
36:26.1,609,1.73E-08,0.000133002,0.03729968,746.1666667,748.4761905,750,750,-0.028714328,-0.013299872,-0.074679903,-0.028542054,benign
36:27.1,607,1.71E-08,0.000129356,0.032713343,747.6190476,742.452381,750,750,-0.030614664,-0.017173758,-0.065444768,-0.030252366,benign
36:28.2,602,1.39E-08,0.000118284,0.025941838,746.3095238,747.8809524,750,750,-0.009152688,-0.000243736,-0.051900134,-0.009156893,benign
36:29.2,606,1.24E-08,0.000118481,0.021653306,746.7619048,742.9285714,750,750,0.00981904,0.004965801,-0.043324725,0.010251693,benign
36:30.3,605,1.59E-08,0.000119593,0.020759018,745.0952381,746.4285714,750,750,0.010514667,-0.007289903,-0.041523779,0.010340805,benign
36:31.3,608,1.46E-08,0.000118162,0.018846038,747.9761905,744.547619,750,750,0.002725623,0.007212571,-0.037693141,0.002832862,benign
36:32.4,604,1.18E-08,0.000111587,0.018177183,747.047619,747.5238095,750,750,0.001146444,0.029725374,-0.036355227,0.000991783,benign
36:33.4,606,1.32E-08,0.000114916,0.01888843,742.6666667,748,750,750,-0.004169651,0.041301219,-0.037779305,-0.00416958,benign
36:34.5,607.5,1.58E-08,0.000121515,0.020915289,747.6904762,745.9285714,750,750,-0.006932555,0.043106761,-0.041837001,-0.006932542,benign
36:35.6,611,1.38E-08,0.000116218,0.020339599,747.952381,745.6666667,750,750,0.000891547,0.036152757,-0.040685111,0.000768277,benign
36:36.6,607,1.38E-08,0.000115563,0.018836402,744.1904762,746.5,750,750,-0.003807248,0.05464298,-0.037676682,-0.003621155,benign
